id,type,source_path,public_url,qr_path,qr_public_url,label_path,added_on,notes
retatrutide-30mg-coa-2026-07-16,coa,coa/retatrutide-30mg-coa-2026-07-16.png,https://jorgitin02.github.io/public-images/coa/retatrutide-30mg-coa-2026-07-16.png,qr/retatrutide-30mg-coa-2026-07-16.png,https://jorgitin02.github.io/public-images/qr/retatrutide-30mg-coa-2026-07-16.png,,2026-07-18,Direct PNG URL
ghk-cu-50mg-coa-2026-07-13,coa,coa/ghk-cu-50mg-coa-2026-07-13.png,https://jorgitin02.github.io/public-images/coa/ghk-cu-50mg-coa-2026-07-13.png,qr/ghk-cu-50mg-coa-2026-07-13.png,https://jorgitin02.github.io/public-images/qr/ghk-cu-50mg-coa-2026-07-13.png,,2026-07-18,Direct PNG URL
nad-plus-500mg-coa-2026-05-21,coa,coa/nad-plus-500mg-coa-2026-05-21.png,https://jorgitin02.github.io/public-images/coa/nad-plus-500mg-coa-2026-05-21.png,qr/nad-plus-500mg-coa-2026-05-21.png,https://jorgitin02.github.io/public-images/qr/nad-plus-500mg-coa-2026-05-21.png,,2026-07-22,Direct PNG URL
retatrutide-10mg-coa-2026-05-06,coa,coa/retatrutide-10mg-coa-2026-05-06.png,https://jorgitin02.github.io/public-images/coa/retatrutide-10mg-coa-2026-05-06.png,qr/retatrutide-10mg-coa-2026-05-06.png,https://jorgitin02.github.io/public-images/qr/retatrutide-10mg-coa-2026-05-06.png,,2026-08-17,Direct PNG URL
testosterone-cypionate-250mg-10ml-janoshik-coa-2026-08-24,coa,coa/testosterone-cypionate-250mg-10ml-janoshik-coa-2026-08-24.pdf,https://jorgitin02.github.io/public-images/coa/testosterone-cypionate-250mg-10ml-janoshik-coa-2026-08-24.pdf,qr/testosterone-cypionate-250mg-10ml-janoshik-coa-2026-08-24.png,https://jorgitin02.github.io/public-images/qr/testosterone-cypionate-250mg-10ml-janoshik-coa-2026-08-24.png,,2026-08-24,"Combined PDF: index of 3 original Janoshik verification links (#171465, #171472, #165299) + Janoshik report #229388 (Testosterone Cypionate 267.48 mg/ml, sample AA1, analysis 10 Sep 2026) as full image on page 2, verifiable with unique key QPCPTB6IVIRC; updated 2026-09-14"
coa-dashboard,page,generated by bin/coa-dashboard from links.csv,https://jorgitin02.github.io/public-images/,,,,2026-09-14,Dashboard page listing all hosted COAs by product
hgh-40iu-coa-2026-09-19,coa,coa/hgh-40iu-coa-2026-09-19.pdf,https://jorgitin02.github.io/public-images/coa/hgh-40iu-coa-2026-09-19.pdf,,,,2026-09-19,"Janoshik verification report #233753 (rHGH 40 IU vial): purity 95.429%, 14.96 mg / 44.88 IU per vial, dimer 0.331%; analysis 17 Sep 2026, sample received 15 Sep 2026; batch not provided, client anonymous; original record https://verify.janoshik.com/tests/233753_61AUDB5UYBN2 (verification key 61AUDB5UYBN2)"
hgh-24iu-coa-2026-09-19,coa,coa/hgh-24iu-coa-2026-09-19.pdf,https://jorgitin02.github.io/public-images/coa/hgh-24iu-coa-2026-09-19.pdf,qr/hgh-24iu-coa-2026-09-19.png,https://jorgitin02.github.io/public-images/qr/hgh-24iu-coa-2026-09-19.png,,2026-09-19,"Janoshik verification report #208734 (HGH 24 IU vial, Blue Cap batch, ERP): purity 95.912%, 8.35 mg / 25.05 IU per vial, dimer 1.648%; analysis 27 Jul 2026, sample received 22 Jul 2026; client Nexus / LoweKey81; original record https://verify.janoshik.com/tests/208734-HGH_24_IU_67EMT92ZASET (verification key 67EMT92ZASET)"
retatrutide-10mg-3ml-vial-label-glm-2026-09-19,label,labels/retatrutide-10mg-3ml-vial-label-glm-2026-09-19.svg,,qr/retatrutide-10mg-coa-2026-05-06.png,https://jorgitin02.github.io/public-images/qr/retatrutide-10mg-coa-2026-05-06.png,labels/retatrutide-10mg-3ml-vial-label-glm-2026-09-19.png,2026-09-19,"40x20mm retatrutide vial label (10mg, real mass 11.71mg, 3ml vial, 2ml water, tested 2026-09-19) designed externally by GLM (Z.ai) and imported to NIIMBOT; embedded QR is qr/retatrutide-10mg-coa-2026-05-06.png pointing to the retatrutide-10mg COA; PDF twin for NIIMBOT PDF Print import: labels/retatrutide-10mg-3ml-vial-label-glm-2026-09-19.pdf"
hgh-24iu-vial-label-glm-2026-09-19,label,labels/hgh-24iu-vial-label-glm-2026-09-19.svg,,qr/hgh-24iu-coa-2026-09-19.png,https://jorgitin02.github.io/public-images/qr/hgh-24iu-coa-2026-09-19.png,labels/hgh-24iu-vial-label-glm-2026-09-19.png,2026-09-19,"40x20mm HGH 24 IU vial label (blue cap batch, actual 25.05 IU / 8.35 mg, tested 2026-07-27, RECON date left blank to handwrite) designed externally by GLM (Z.ai); QR generated for the hosted COA PDF and decode-verified; QR embedded in the SVG as data URI because librsvg 2.62 drops ../qr/ refs; PDF twin for NIIMBOT PDF Print import: labels/hgh-24iu-vial-label-glm-2026-09-19.pdf"
